id,milestone
1108387,InsertTableImage
1108387,LinkActivity
1108387,Location
1108387,ManageTab
1108387,MultiImageElemen
1108387,OpenData
1108387,OpenReport
1108387,OpenReportList
1108387,OpensAndBounces
1108387,OpensByPlatform
1108387,ProjPreview
1108387,ReEditProj
1108387,ReportsTab
1108387,ReSchedProj
1108387,SEBackColors
1108387,SEBorders
1108387,SECreateColumn
1108387,SEDeleteElement
1108387,SEDragIn
1108387,SEDragMove
1108387,SEDragResize
1108387,SELinkElements
1108387,SendLater
1108387,SendNow
1108387,SEPadding
1108387,SimpleProjCreate
1108387,SocialShareEleme
1108387,TableSort
1108387,TestSend
1108387,TxtBIUS
1108387,TxtFontSizeColor
1108387,TxtIndentJustify
1108387,TxtStylesFormats
1108387,TxtViewSource
1108387,UnopenedData
1108387,UploadImage
1108387,UserAgent
1111526,AddImage
1111526,CaptionedImages
1111526,ImageProperties
1111526,InsertLinkAnchor
1111526,InsertTableImage
1111526,ManageTab
1111526,MultiImageElemen
1111526,ProjPreview
1111526,ReEditProj
1111526,ReportsTab
1111526,SEBorders
1111526,SEDeleteElement
1111526,SEDragIn
1111526,SEDragMove
1111526,SEDragResize
1111526,SELinkElements
1111526,SendNow
1111526,SEPadding
1111526,SimpleProjCreate
1111526,SocialShareEleme
1111526,ToggleSocialSite
1111526,TxtBIUS
1111526,TxtFontSizeColor
1111526,TxtIndentJustify
1111526,TxtStylesFormats
1114224,AddImage
1114224,AdvProjCreate
1114224,CopyProj
1114224,DeleteProj
1114224,EditDefaultStyle
1114224,HideOnMobile
1114224,ImageProperties
1114224,ImportProjFileUR
1114224,InsertLinkAnchor
1114224,InsertList
1114224,InsertTableImage
1114224,LinkActivity
1114224,Location
1114224,ManageFilters
1114224,ManageTab
1114224,MobileFriendly
1114224,OpenData
1114224,OpenReport
1114224,OpenReportList
1114224,OpensAndBounces
1114224,OpensByPlatform
1114224,PrevTextVersion
1114224,ProjPreview
1114224,PublishTemplate
1114224,ReEditProj
1114224,ReportsFilters
1114224,ReportsTab
1114224,ReSchedProj
1114224,SEBackColors
1114224,SEBorders
1114224,SECreateColumn
1114224,SEDeleteElement
1114224,SEDragIn
1114224,SEDragMove
1114224,SEDragResize
1114224,SendLater
1114224,SendNow
1114224,SetCompanyDefaul
1114224,SimpleProjCreate
1114224,SocialFollowElem
1114224,SocialShareEleme
1114224,SubjectMergeTags
1114224,TableSort
1114224,TestSend
1114224,ToggleSocialSite
1114224,TxtBIUS
1114224,TxtFontSizeColor
1114224,TxtIndentJustify
1114224,TxtMergeTags
1114224,TxtStylesFormats
1114224,TxtViewSource
1114224,UnopenedData
1114224,UseBlankTemplate
1114224,UserAgent
1118043,AddImage
1118043,CaptionedImages
1118043,ConditionalEleme
1118043,CopyProj
1118043,DeleteProj
1118043,InsertLinkAnchor
1118043,InsertList
1118043,InsertTableImage
1118043,ManageTab
1118043,ProjPreview
1118043,ReEditProj
1118043,ReportsTab
1118043,SEBackColors
1118043,SEBorders
1118043,SEDeleteElement
1118043,SEDragIn
1118043,SEDragMove
1118043,SEDragResize
1118043,SendNow
1118043,SEPadding
1118043,SimpleProjCreate
1118043,SocialAutoPost
1118043,SocialShareEleme
1118043,TestSend
1118043,TxtBIUS
1118043,TxtFontSizeColor
1118043,TxtIndentJustify
1118043,TxtStylesFormats
1118043,TxtViewSource
1118043,UploadImage
